1-800-GOT-JUNK? Honolulu,821B Cedar St,Honolulu,Oahu,96814,1 808-204-1456,,4.9,4695,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.2974009,-157.8424565
Hawaii Junk Removal,1612 Homerule St,Honolulu,Oahu,96819,1 808-773-0477,,5,1635,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""Closed""]",21.3227863,-157.8819071
Aloha Junk Man,905 Kalanianaʻole Hwy Unit 104A,Kailua,Oahu,96734,1 808-940-0809,,5,1573,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""Closed""]",21.3981482,-157.7692678
Kana'i's Junk Removal,99-1295 Waiua Pl,Aiea,Oahu,96701,1 808-517-5772,,5,994,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3712753,-157.9043678
Oahu Junk Boys,2394 Tantalus Dr,Honolulu,Oahu,96813,1 808-462-1482,,5,5,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3187038,-157.8346138
Oahu Junk Removal,98-1264 Akaaka St,Aiea,Oahu,96701,1 808-779-2972,,5,13,"[""7AM-9PM""]","[""7AM-9PM""]","[""7AM-9PM""]","[""7AM-9PM""]","[""7AM-9PM""]","[""7AM-9PM""]","[""Closed""]",21.3914924,-157.9189682
Island Junk Removal LLC,94-428 Kiau Pl,Waipahu,Oahu,96797,1 808-393-6328,,5,281,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3824477,-158.0296835
HTM Contractors Inc,160 Ahui St ste b,Honolulu,Oahu,96813,1 808-456-3311,,4.9,230,"[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""Closed""]","[""Closed""]",21.2935851,-157.8608821
Honolulu Disposal Service Inc,1169 Mikole St,Honolulu,Oahu,96819,1 808-845-7581,,2.7,40,"[""6:30AM-5PM""]","[""6:30AM-5PM""]","[""6:30AM-5PM""]","[""6:30AM-5PM""]","[""6:30AM-5PM""]","[""7AM-3:30PM""]","[""Closed""]",21.3044233,-157.8759652
Elite Junk Removal LLC,,,Hawaii,,1 808-800-1093,,5,28,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.4808544,-157.9644989
Nikko's Junk Removal,Kolowaka Dr,Ewa Beach,Oahu,96706,1 443-764-7900,,4.9,37,"[""6AM-6PM""]","[""6AM-6PM""]","[""6AM-6PM""]","[""6AM-6PM""]","[""6AM-6PM""]","[""6AM-6PM""]","[""9AM-5PM""]",21.3391745,-158.0302718
"Hawaii's Junk-A-Haulics, LLC",,,Hawaii,,1 808-745-8225,,5,16,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3255125,-157.8010565
KK Hauling LLC,,,Hawaii,,1 808-551-9937,,5,10,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.4837543,-157.9652284
Honolulu Movers,,,Hawaii,,1 808-206-9817,,4.9,855,"[""7:30AM-6PM""]","[""7:30AM-6PM""]","[""7:30AM-6PM""]","[""7:30AM-6PM""]","[""7:30AM-6PM""]","[""7:30AM-3PM""]","[""7AM-2PM""]",21.4465796,-157.9442415
Keehi Transfer Station,606 Middle St,Honolulu,Oahu,96819,1 808-768-4884,,4.7,64,"[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""7AM-6PM""]","[""Closed""]",21.3361474,-157.8925666
Oahu Dump Run,91-174 Olai St,Kapolei,Oahu,96707,1 808-556-5990,,2.5,8,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""Closed""]",21.2987308,-158.1039958
OverIt Junk Removal,1415 Kinau St Unit A1,Honolulu,Oahu,96814,1 808-427-9939,,5,9,"[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""Closed""]",21.3007634,-157.8386985
West Oahu Aggregate,855 Umi St,Honolulu,Oahu,96819,1 808-847-7780,,1.8,51,"[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""Closed""]",21.333795,-157.881077
Ma Rolloff,,,Hawaii,,1 808-688-6943,,4.9,219,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""9AM-5PM""]","[""8AM-5PM""]",21.380835,-157.930952
Pacific Junk Removal,,,Hawaii,,1 808-833-7171,,4.3,6,"[""8AM-4PM""]","[""8AM-4PM""]","[""8AM-4PM""]","[""8AM-4PM""]","[""8AM-4PM""]","[""8AM-4PM""]","[""Closed""]",21.4525085,-157.874082
ABC JUNKYARD,794H Lehua Ave,Pearl City,Oahu,96782,1 808-456-8114,,4.1,264,"[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]",21.3893375,-157.97283
M. DYER GLOBAL,98-054 Kuleana Rd,Pearl City,Oahu,96782,1 808-456-4200,,4.4,85,"[""7:30AM-4:30PM""]","[""7:30AM-4:30PM""]","[""7:30AM-4:30PM""]","[""7:30AM-4:30PM""]","[""7:30AM-4:30PM""]","[""Closed""]","[""Closed""]",21.3908796,-157.9604836
Junk Removal Oahu - Any Kine Junk LLC,,,Hawaii,,1 808-840-7026,,5,56,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]",21.4808544,-157.9644989
Unko's Junk Removal,,,Hawaii,,1 808-728-0736,,5,4,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.4837543,-157.9652284
HAWAIIAN STEAM INC.,96-1272 Waihona St Unit 8,Pearl City,Oahu,96782,1 808-455-4387,,4,2,"[""9AM-4PM""]","[""9AM-4PM""]","[""9AM-4PM""]","[""9AM-4PM""]","[""9AM-4PM""]","[""Closed""]","[""Closed""]",21.4102547,-157.9763138
Amazon Construction,96-1255 Waihona St,Pearl City,Oahu,96782,1 808-841-6595,,4.2,6,"[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""Closed""]","[""Closed""]",21.408892,-157.9755209
Integrity Towing,99-063 Moanalua Rd A,Aiea,Oahu,96701,1 808-258-7515,,4.5,56,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3808648,-157.9323591
Pearl City Movers,,,Hawaii,,1 808-377-6625,,4.6,19,"[""8AM-7PM""]","[""8AM-7PM""]","[""8AM-7PM""]","[""8AM-7PM""]","[""8AM-7PM""]","[""8AM-1PM""]","[""8AM-1PM""]",21.4111436,-157.9677216
Aloha Waste Systems Of Honolulu Inc.,91-265 Hanua St,Kapolei,Oahu,96707,1 808-237-8000,,4.2,10,"[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-2PM""]","[""Closed""]",21.3096682,-158.1029631
RRR Recycling Services Hawaii,91-165 Kalaeloa Blvd,Kapolei,Oahu,96707,1 808-682-5600,,4.2,14,"[""9:15AM-3PM""]","[""9:15AM-3PM""]","[""9:15AM-3PM""]","[""9:15AM-3PM""]","[""9:15AM-3PM""]","[""8AM-3:30PM""]","[""Closed""]",21.3063421,-158.0974755
Island Bin Cleaners,2045 Lauwiliwili St #801,Kapolei,Oahu,96707,1 808-345-2019,,4.9,55,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""9AM-5PM""]","[""Closed""]",21.3218066,-158.0906029
TIP TOWS TOWING,590 Farrington Hwy #210-200,Kapolei,Oahu,96707,1 808-222-3432,,4.9,215,"[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]",21.3375977,-158.0806204
HI End Services Junk Removal,,,Hawaii,,1 808-954-0903,,5,88,"[""6AM-6PM""]","[""6AM-6PM""]","[""6AM-6PM""]","[""6AM-6PM""]","[""6AM-6PM""]","[""6AM-6PM""]","[""Closed""]",21.4808544,-157.9644989
Kapolei Convenience Center,91-184 Kaomi Loop,Kapolei,Oahu,96707,1 808-260-2801,,4.5,18,"[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]",21.303871,-158.1106196
Cash For Cars - Honolulu,91-542 Awakumoku St Suite B,Kapolei,Oahu,96707,1 808-818-2087,,4.5,60,"[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""Closed""]","[""Closed""]",21.3189831,-158.1169339
JUNK AUTHORITY HAWAII : Junk Removal & Hauling,,,Hawaii,,1 808-345-1603,,5,278,"[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""Closed""]",19.7635779,-155.8245265
Kapaa Transfer Stations,100 Kapaa Quarry Rd,Kailua,Oahu,96734,1 808-768-4248,,4.6,99,"[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]",21.3959595,-157.765493
Koolau Refuse,46-145 Malina Pl,Kaneohe,Oahu,96744,1 808-234-2349,,,,"[""7AM-4:30PM""]","[""7AM-4:30PM""]","[""7AM-4:30PM""]","[""7AM-4:30PM""]","[""7AM-4:30PM""]","[""7AM-1PM""]","[""Closed""]",21.4177655,-157.8040401
SERVPRO of Kailua,45-564 Kamehameha Hwy D,Kaneohe,Oahu,96744,1 808-900-8280,,4.8,329,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3984852,-157.8000566
Hawaii Island Waste - Junk Removal & Dumpster Rental,,,Hawaii,,1 808-300-9766,,5,115,"[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]",19.5627299,-155.3627735
Island Wide Junk Removal Specialist,,,Hawaii,,1 808-461-7004,,5,185,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",19.685067,-155.086042
Junk Car Buyers Kailua,,,Hawaii,,1 808-824-4986,,,,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",23.6913614,-166.5937802
Ewa Refuse Convenience Center,91-1000 Geiger Rd,Ewa Beach,Oahu,96706,1 808-226-2996,,3.9,75,"[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]",21.3282604,-158.0389463
Waipahu Convenience Center,94-071 Waipahu Depot St,Waipahu,Oahu,96797,1 808-676-8878,,3.9,89,"[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]",21.3801072,-158.004205
Oahu Used Auto Parts and Recycling LLC,94-233 Leonui St Suite 2,Waipahu,Oahu,96797,1 808-853-4315,,4.9,32,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""Closed""]",21.378265,-158.0193776
Reynolds Recycling Ewa Beach Redemption Center,91-919 Fort Weaver Rd,Ewa Beach,Oahu,96706,1 808-487-2802,,2.6,39,"[""9AM-12PM"",""1:30-5PM""]","[""9AM-12PM"",""1:30-5PM""]","[""9AM-12PM"",""1:30-5PM""]","[""9AM-12PM"",""1:30-5PM""]","[""9AM-12PM"",""1:30-5PM""]","[""9AM-12PM"",""1:30-5PM""]","[""9AM-12PM"",""1:30-5PM""]",21.3163745,-158.0144212
808 Junk Removal & Bin Services,,,Hawaii,,1 808-285-5105,,5,1,"[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-6PM""]","[""8AM-8PM""]","[""8AM-8PM""]",24.8582504,-168.0145282
WeCan Hawaii,,,Hawaii,,1 808-368-1219,,5,5,"[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]",21.4837543,-157.9652284
Wahiawa Convenience Center,71-129 Wilikina Dr,Wahiawa,Oahu,96786,1 808-621-3648,,3.7,46,"[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]",21.5018868,-158.0528769
JM Hauling & Junk Disposal LLC,,,Hawaii,,1 808-960-7189,,5,161,"[""9AM-5:30PM""]","[""9AM-5:30PM""]","[""9AM-5:30PM""]","[""9AM-5:30PM""]","[""9AM-5:30PM""]","[""9AM-5:30PM""]","[""Closed""]",19.725541,-155.47044
JunkTrucks,,,Hawaii,,1 808-551-9406,,5,9,"[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]","[""7AM-4PM""]",21.4837543,-157.9652284
"Waipahu Recycling, LLC",94-037 Waipahu Depot St,Waipahu,Oahu,96797,1 808-677-6969,,4.3,94,"[""8AM-4:30PM""]","[""8AM-4:30PM""]","[""8AM-4:30PM""]","[""8AM-4:30PM""]","[""8AM-4:30PM""]","[""8AM-4:30PM""]","[""8AM-4:30PM""]",21.38115,-158.004946
EZ Pickups Hawaii LLC,1205 Komohana St,Hilo,Hawaii Island,96720,1 808-664-6362,,5,17,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""Closed""]","[""Closed""]",19.6872609,-155.0897297
Honolulu Cheap Movers,,,Hawaii,,1 808-500-4919,,5,90,"[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-5PM""]","[""7AM-5PM""]",21.3255125,-157.8010565
